FULLNAME,TITLE,THEME,UPDATEFREQ,FIRSTADDED_OPENDATA,LASTPOSTED_SDW,WHENREFRESHED_OPENDATA,SHAPEFILE
prkdst_area,Park Districts in King County,district,As needed,20180326,20210309,20210310,YES
radarspeedsign_point,Radar Speed Signs,transportation,As needed,20180326,20210308,20210310,YES
raisedpavementmarking_point,Raised Pavement Marking,transportation,Update Frequency not available,20171108,20210308,20210310,YES
rd_facility_point,RD Facility maintained by King County Roads Division,transportation,Update Frequency not available,20180326,20210308,20210310,YES
realprop_area,King County Real Property,property,Monthly,20161102,20210303,20210310,NO
retainingwall_line,Retaining Wall maintained by King County Roads Division,transportation,Update Frequency not available,20180326,20210308,20210310,YES
revegtrackerproject_area,Revegetation Tracker Projects in King County,natres,Daily,20210210,20210309,20210310,YES
rfadst_area,Regional Fire Authority Districts of King County,district,As needed,20180326,20210309,20210310,YES
roadlog_line,Roadlog - Street Centerlines,transportation,Daily,20171108,20210308,20210310,YES
roadlog_halfstreet_line,Roadlog - Half Streets,transportation,As needed,20180327,20210308,20210310,YES
roadlog_onbond_line,Roadlog - On Bond,transportation,As needed,20180327,20210308,20210310,YES
roadlog_reference_point,Roadlog Reference Points,transportation,As needed,20171108,20210308,20210310,YES
roads_service_level_line,Roads Service Levels,transportation,Update Frequency not available,20171108,20210308,20210310,YES
roadvacation_area,Road Vacation,transportation,As needed,20161028,20210308,20210310,YES
row_area,Rights of Way,property,Weekly,20161102,20210307,20210310,YES
rsd_federalfunctionclass_line,RoadsGIS.RSDLIB.Roadlog_FederalFunctionClass_line,transportation,Update Frequency not available,20181025,20210308,20210310,YES
rsd_maintshoppit_point,maint.ROADS.RSD_MaintShopPit_point,transportation,Update Frequency not available,20181019,20210308,20210310,YES
rtadst_area,Regional Transit District,district,As needed,20181019,20210309,20210310,YES
sccdst_area,Seattle City Council Districts,district,As needed,20161028,20210309,20210310,YES
schdst_area,School Districts in King County,district,As needed,20161028,20210309,20210310,YES
sewer_line,Wastewater Conveyance of King County,utility,Continually,20171219,20210309,20210310,YES
shoulder_line,Shoulders maintained by King County Roads Division,transportation,Update Frequency not available,20171109,20210308,20210310,YES
shrp_project_point,Small Habitat Restoration Project (SHRP) Data,natres,Weekly,20181022,20210307,20210310,NO
sidewalk_line,Sidewalk maintained by King County Roads Division,transportation,Update Frequency not available,20171109,20210308,20210310,YES
sign_point,Traffic Signs,transportation,Daily,20171109,20210308,20210310,YES
signal_point,Title not available,transportation,Update Frequency not available,20181022,20210308,20210310,YES
speedbump_point,Speed Bump maintained by King County Roads Division,transportation,Update Frequency not available,20181022,20210308,20210310,YES
storm_fac_point,Stormwater Facilities,utility,Weekly,20171109,20210307,20210310,YES
striping_line,Roadway Striping (Pavement Marking line),transportation,Continually,20171109,20210308,20210310,YES
swrdst_area,Sewer Districts,district,As needed,20160919,20210309,20210310,YES
tname,Metro TNAME Table in King County,transportation,Daily,20181029,20210309,20210310,YES
trafficcamera_point,King County and WSDOT Traffic Cameras,transportation,Monthly,20181025,20210308,20210310,YES
trafficisland_line,Traffic Island maintained by King County Roads Division,transportation,Update Frequency not available,20181025,20210308,20210310,YES
trans_network_line,Metro Transportation Network (TNET) in King County,transportation,Daily,20160929,20210309,20210310,YES
trans_network_bike_line,Metro Transportation Network (TNET) in King County for Bicycle Mode,transportation,Daily,20171108,20210309,20210310,YES
trans_network_bus_line,Metro Transportation Network (TNET) in King County for Bus Mode,transportation,Daily,20171108,20210309,20210310,YES
trans_network_car_line,Metro Transportation Network (TNET) in King County for Car Mode,transportation,Daily,20171108,20210309,20210310,YES
trans_network_equest_line,Metro Transportation Network (TNET) in King County for Equestrian Mode,transportation,Daily,20181025,20210309,20210310,YES
trans_tlink_tmode,Metro Transportation Network (TNET) Modes in King County,transportation,Daily,20181029,20210309,20210310,YES
transit_reroutes_line,Metro Transit Reroutes in King County,transportation,Annually,20171207,20210309,20210310,YES
transitroute_line,King County Metro Routes ,transportation,Continually,20171121,20210309,20210310,YES
transitstop_point,King County Metro Stops,transportation,Daily,20171121,20210309,20210310,YES
trashrack_point,Trashrack maintained by King County Roads Division,transportation,Update Frequency not available,20171207,20210308,20210310,YES
tsp_signal_point,King County Metro Signal,transportation,Continually,20171121,20210309,20210310,YES
votdst_area,Voting Districts of King County,district,As needed,20160919,20210309,20210310,YES
wsdst_area,Water and Sewer Districts of King County,district,As needed,20160919,20210309,20210310,YES
wtrdst_area,Water Districts of King County,district,As needed,20160919,20210309,20210310,YES
wtrsamp_point,Water Sampling sites,hydro,Daily,20171108,20210309,20210310,YES
